Item Name	Roastery	Roast Level	Region	Flavour Profile	Roast Type	Process	Variety	Brewing Method	Coffee Origin	Rating	Recommended	Price
Ethiopia Jenny's BARREL COFFEE - maturing in whiskey barrels	The naughty dog	Omni	Agaro - Jimma	Chocolate,Caramel,Forest fruit,Whiskey	Omni (recommended for both Filter & Espresso Coffee)	Washed	74110,74112,Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso	Ethiopia	4.5	96%	14,99
Rwanda KIRAMBO	The naughty dog	Omni	Nyamasheke District	Milk chocolate,Blueberries,Mulled wine,Lemon marmalade	Omni (recommended for both Filter & Espresso Coffee)	Natural	Red Bourbon	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot	Rwanda	4.4	100%	11,99
Ethiopia SUKE QUTO - washed 1000g	The naughty dog	Light to Medium Light	Guji	Bergamot,Peach ice tea,Black tea,Flowers	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			49,99
Ethiopia Jenny's BARREL COFFEE - 1000g	The naughty dog	Omni	Agaro - Jimma	Chocolate,Caramel,Forest fruit,Whiskey	Omni (recommended for both Filter & Espresso Coffee)	Washed	74110,74112,Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso	Ethiopia	4.5	96%	54,99
Ethiopia GORAA	The naughty dog	Light to Medium Light	Guji	Peach tea,Květinový med,Milk chocolate	Filter	Natural	74110,74112,Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			11,99
Ethiopia MALAWO - black honey	The naughty dog	Light to Medium Light	Bensa	Peach ice tea,Jasmine,Forest strawberries,Passion fruit	Filter	Honey	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	5.0	100%	12,99
Kenya NGANDU	The naughty dog	Light to Medium Light	Nyeri	Redcurrant,Maple syrup,Lime	Filter	Washed	SL28,SL34	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya	5.0	100%	11,99
Colombia BOLIVAR	The naughty dog	Light to Medium Light	Antioquia	Caramel,Forest fruit,Rum	Filter	Natural	Castillo,Caturra	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Colombia	4.7	100%	11,99
Ethiopia GENJI CHALLA	The naughty dog	Light to Medium Light	Jimma - Oromia	Bergamot,Black tea,Nectarines,Orange	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	4.3	50%	11,99
UNICORN BLEND #5	The naughty dog	Light to Medium Light		Black tea,Květinový med,Apricots,Vanilla,Jelly	Filter		Castillo,Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia,Colombia			13,99
Brazil RANCHO GRANDE	The naughty dog	Medium to medium dark	Sul de Minas	Dark Bitter chocolate,Hazelnuts,Demerara sugar,Walnuts	Espresso	Natural	Mundo Novo	Espresso,Moka pot	Brazil			9,99
Yemen BANI AL AREEF	The naughty dog	Light to Medium Light	Jemen - Haraz	Black tea,Cotton candy,Red orange,Dried strawberries	Filter	Experimental	Jaadi	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Yemen	4.7	100%	18,99
Ethiopia SUKE QUTO - washed	The naughty dog	Light to Medium Light	Guji	Black tea,Flowers,Bergamot,Peach ice tea	Filter	Washed	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia			11,99
Brazil RANCHO GRANDE - 1000g	The naughty dog	Medium to medium dark	Sul de Minas	Dark Bitter chocolate,Hazelnuts,Demerara sugar,Walnuts	Espresso	Natural	Mundo Novo	Moka pot,Espresso	Brazil			39,99
Brazil FAZENDA SALTO - 1000g	The naughty dog	Medium to medium dark	Sul de Minas	Sugarcane,Dark Bitter chocolate,Plum jam	Espresso	Natural	Yellow Bourbon	Moka pot,Espresso	Brazil	4.3	83%	39,99
Ethiopia MALAWO - black honey - 1000g	The naughty dog	Light to Medium Light	Bensa	Jasmine,Passion fruit,Forest strawberries,Peach ice tea	Filter	Honey	Heirloom	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Ethiopia	5.0	100%	59,99
Ethiopia GORAA - 1000g	The naughty dog											54,99
Kenya RUNG'ETO KII AA	Candycane Coffee	Light to Medium Light	Kirinyaga	Vanilla,Blackberry jam,Lime	Filter	Washed	Batian,SL28,SL34,Ruiru 11	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	Kenya			14,99
Nicaragua PARAINEMA #2	Candycane Coffee	Medium to medium dark	Matagalpa	Chocolate,Crème brûlée,Pear	Espresso	Natural	Parainema	Moka pot,Espresso	Nicaragua			13,99
El Salvador SANTA RITA	Candycane Coffee	Light to Medium Light		Blueberries,Mulled wine,Plums	Filter	Anaerobic	Bourbon,Hibrido de San Francisco	Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot	El Salvador			13,99
HOME OFFICE blend	Candycane Coffee	Medium to medium dark		Dark Bitter chocolate,Caramel,Hazelnuts	Espresso	Natural	Red Catuai	Espresso,Moka pot	Indonesia,Brazil	4.4	92%	11,99
Costa Rica DON ELI	Candycane Coffee	Medium to medium dark	Kostarika - La Zona de los Santos	Cocoa,Cherries,Flower honey	Espresso	Honey	Catuai	Espresso,Moka pot	Costa Rica			13,99
Costa Rica HACIENDA SONORA - cascara	Candycane Coffee		Grecia	Rhubarb,Ripe cherries,Rosehip tea		Natural	SL28,Caturra,Catuai,Marsellesa,Sarchimor (T5296)		Costa Rica	5.0	100%	14,99
