Item Name,Roastery,Roast Level,Region,Flavour Profile,Roast Type,Process,Variety,Brewing Method,Coffee Origin,Rating,Recommended,Price
Ethiopia Jenny's BARREL COFFEE - maturing in whiskey barrels,The naughty dog,Omni,Agaro - Jimma,"Chocolate,Caramel,Forest fruit,Whiskey",Omni,Washed,"74110,74112,Heirloom","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso",Ethiopia,4.5,96.0,14.99
Rwanda KIRAMBO,The naughty dog,Omni,Nyamasheke District,"Milk chocolate,Blueberries,Mulled wine,Lemon marmalade",Omni,Natural,Red Bourbon,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Rwanda,4.4,100.0,11.99
Ethiopia Jenny's BARREL COFFEE - 1000g,The naughty dog,Omni,Agaro - Jimma,"Chocolate,Caramel,Forest fruit,Whiskey",Omni,Washed,"74110,74112,Heirloom","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso",Ethiopia,4.5,96.0,54.99
Ethiopia MALAWO - black honey,The naughty dog,Light to Medium Light,Bensa,"Peach ice tea,Jasmine,Forest strawberries,Passion fruit",Filter,Honey,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,5.0,100.0,12.99
Kenya NGANDU,The naughty dog,Light to Medium Light,Nyeri,"Redcurrant,Maple syrup,Lime",Filter,Washed,"SL28,SL34","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Kenya,5.0,100.0,11.99
Colombia BOLIVAR,The naughty dog,Light to Medium Light,Antioquia,"Caramel,Forest fruit,Rum",Filter,Natural,"Castillo,Caturra","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Colombia,4.7,100.0,11.99
Ethiopia GENJI CHALLA,The naughty dog,Light to Medium Light,Jimma - Oromia,"Bergamot,Black tea,Nectarines,Orange",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,4.3,50.0,11.99
Yemen BANI AL AREEF,The naughty dog,Light to Medium Light,Jemen - Haraz,"Black tea,Cotton candy,Red orange,Dried strawberries",Filter,Experimental,Jaadi,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Yemen,4.7,100.0,18.99
Brazil FAZENDA SALTO - 1000g,The naughty dog,Medium to medium dark,Sul de Minas,"Sugarcane,Dark Bitter chocolate,Plum jam",Espresso,Natural,Yellow Bourbon,"Moka pot,Espresso",Brazil,4.3,83.0,39.99
Ethiopia MALAWO - black honey - 1000g,The naughty dog,Light to Medium Light,Bensa,"Jasmine,Passion fruit,Forest strawberries,Peach ice tea",Filter,Honey,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,5.0,100.0,59.99
HOME OFFICE blend,Candycane Coffee,Medium to medium dark,,"Dark Bitter chocolate,Caramel,Hazelnuts",Espresso,Natural,Red Catuai,"Espresso,Moka pot","Indonesia,Brazil",4.4,92.0,11.99
Costa Rica HACIENDA SONORA - cascara,Candycane Coffee,,Grecia,"Rhubarb,Ripe cherries,Rosehip tea",,Natural,"SL28,Caturra,Catuai,Marsellesa,Sarchimor (T5296)",,Costa Rica,5.0,100.0,14.99
KANCL ESPRESSO blend - 1000g,Candycane Coffee,Medium to medium dark,Brazílie - Lambari,"Dark Bitter chocolate,Honey,Hazelnuts",Espresso,Natural,Red Catuai,"Espresso,Moka pot","Indonesia,Brazil",3.8,75.0,34.99
CLASSIC capsules for nespresso coffee machines - 12pcs/pack,Candycane Coffee,Medium to medium dark,Sao Joao Del Rey,"Caramel,Hazelnuts,Milk chocolate",Espresso,,,"Moka pot,Espresso",Brazil,5.0,100.0,8.99
Ethiopia LEMON SQUEEZE,DAK Coffee Roasters,Light to Medium Light,Hamasho,"Peach,Vanilla,Ice tea,Lemon tea,Sedmikráska",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia,5.0,100.0,17.99
Colombia CANDY CRUSH - filter,DAK Coffee Roasters,Light to Medium Light,Quindìo,"Caramel,Chewing gums,Marshmallow,Jahodové lízátko",Filter,Experimental,Caturra,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Colombia,5.0,100.0,29.99
Brazil PRETTY NUTS,DAK Coffee Roasters,Medium to medium dark,Alta Mogiana,"Peanut butter,Forest fruit,Liqueur Grand Marnier,Milk chocolate",Espresso,Natural,Catuai,"Moka pot,Espresso",Brazil,4.0,100.0,15.99
Rwanda RUSHASHI - OWOC,HAYB Speciality Coffee,Light to Medium Light,Gakenke,"Apple,Forest fruit",Filter,Washed,Bourbon,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Rwanda,3.9,75.0,13.99
Brazil CERRADO - KLASYK,HAYB Speciality Coffee,Light to Medium Light,Cerrado Patrocinio,Chocolate,Filter,Natural,,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Brazil,4.0,100.0,12.99
