Item Name,Roastery,Roast Level,Region,Flavour Profile,Roast Type,Process,Variety,Brewing Method,Coffee Origin
Ethiopia Jenny's BARREL COFFEE - maturing in whiskey barrels,The naughty dog,Omni,Agaro - Jimma,"Chocolate,Caramel,Forest fruit,Whiskey",Omni,Washed,"74110,74112,Heirloom","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso",Ethiopia
Rwanda KIRAMBO,The naughty dog,Omni,Nyamasheke District,"Milk chocolate,Blueberries,Mulled wine,Lemon marmalade",Omni,Natural,Red Bourbon,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Rwanda
Ethiopia Jenny's BARREL COFFEE - 1000g,The naughty dog,Omni,Agaro - Jimma,"Chocolate,Caramel,Forest fruit,Whiskey",Omni,Washed,"74110,74112,Heirloom","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso",Ethiopia
Ethiopia MALAWO - black honey,The naughty dog,Light to Medium Light,Bensa,"Peach ice tea,Jasmine,Forest strawberries,Passion fruit",Filter,Honey,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia
Kenya NGANDU,The naughty dog,Light to Medium Light,Nyeri,"Redcurrant,Maple syrup,Lime",Filter,Washed,"SL28,SL34","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Kenya
Colombia BOLIVAR,The naughty dog,Light to Medium Light,Antioquia,"Caramel,Forest fruit,Rum",Filter,Natural,"Castillo,Caturra","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Colombia
Ethiopia GENJI CHALLA,The naughty dog,Light to Medium Light,Jimma - Oromia,"Bergamot,Black tea,Nectarines,Orange",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia
Yemen BANI AL AREEF,The naughty dog,Light to Medium Light,Jemen - Haraz,"Black tea,Cotton candy,Red orange,Dried strawberries",Filter,Experimental,Jaadi,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Yemen
Brazil FAZENDA SALTO - 1000g,The naughty dog,Medium to medium dark,Sul de Minas,"Sugarcane,Dark Bitter chocolate,Plum jam",Espresso,Natural,Yellow Bourbon,"Moka pot,Espresso",Brazil
Ethiopia MALAWO - black honey - 1000g,The naughty dog,Light to Medium Light,Bensa,"Jasmine,Passion fruit,Forest strawberries,Peach ice tea",Filter,Honey,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia
KANCL ESPRESSO blend - 1000g,Candycane Coffee,Medium to medium dark,Brazílie - Lambari,"Dark Bitter chocolate,Honey,Hazelnuts",Espresso,Natural,Red Catuai,"Espresso,Moka pot","Indonesia,Brazil"
Ethiopia LEMON SQUEEZE,DAK Coffee Roasters,Light to Medium Light,Hamasho,"Peach,Vanilla,Ice tea,Lemon tea,Sedmikráska",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia
Colombia CANDY CRUSH - filter,DAK Coffee Roasters,Light to Medium Light,Quindìo,"Caramel,Chewing gums,Marshmallow,Jahodové lízátko",Filter,Experimental,Caturra,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Colombia
Brazil PRETTY NUTS,DAK Coffee Roasters,Medium to medium dark,Alta Mogiana,"Peanut butter,Forest fruit,Liqueur Grand Marnier,Milk chocolate",Espresso,Natural,Catuai,"Moka pot,Espresso",Brazil
Rwanda RUSHASHI - OWOC,HAYB Speciality Coffee,Light to Medium Light,Gakenke,"Apple,Forest fruit",Filter,Washed,Bourbon,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Rwanda
Colombia LA PRADERA,HAYB Speciality Coffee,Light to Medium Light,Santander,"Apricots,Apple,Watermelon",Filter,Natural,"Castillo,Tabi","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Colombia
Ethiopia BOMBE - espresso,Father's Coffee Roastery,Medium to medium dark,Sidamo,"Apricots,Black tea,Jasmine,Gingerbread,Bergamot",Espresso,Washed,Heirloom,"Espresso,Moka pot",Ethiopia
MOTHER-SHIP BLEND,Father's Coffee Roastery,Medium to medium dark,Etiopie- Chelchelie,"Milk chocolate,Flowers",Espresso,Washed,"Caturra,Bourbon","Espresso,Moka pot","Peru,Ethiopia"
Brazil CAFEINA,Father's Coffee Roastery,Medium to medium dark,Sul de Minas,"Sweet tobacco,Hazelnut butter",Espresso,Natural,"Mundo Novo,Yellow Catuai","Espresso,Moka pot",Brazil
Brazil CAFEINA - 1000g,Father's Coffee Roastery,Medium to medium dark,Sul de Minas,"Hazelnut butter,Sweet tobacco",Espresso,Natural,"Mundo Novo,Yellow Catuai","Moka pot,Espresso",Brazil
Ethiopia BOMB,Father's Coffee Roastery,Light to Medium Light,Sidamo,"Bergamot,Black tea,Jasmine,Gingerbread,Apricots",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia
Guatemala ASPROCDEGUA,Industra Coffee,Medium to medium dark,Huehuetenango,"Caramel,Blackberry,Pecans",Espresso,Washed,"Caturra,Catimor,Bourbon,Pache,Maragogype","Espresso,Moka pot",Guatemala
Indonesia RADIOPHARE,The Barn,Light to Medium Light,West Java,"Passionflower,Raisins,Cinnamon,Plums,Demerara sugar",Filter,Natural,"Catimor,Line S,Typical","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Indonesia
Rwanda MAHEMBE,The Barn,Light to Medium Light,Western Province,"Cocoa,Nutmeg,Cherries",Filter,Washed,Red Bourbon,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Rwanda
Brazílie DATTERA RESERVE ,The Barn,Omni,Cerrado,"Nougat,Cherry jam",Omni,Natural,Aramosa,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Brazil
Peru AROMAS DEL VALLE,The Barn,Medium to medium dark,Cajamarca,"Tangerines,Cookies",Espresso,Washed,"Catuai,Caturra","Moka pot,Espresso",Peru
Ethiopia TELILA HONEY YUKRO,Square Mile,Light to Medium Light,Jimma,"White peach,Apricots",Filter,Honey,"JARC 74110,JARC 74112","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia
EASTER ESPRESSO blend - Easter limited edition,Square Mile,Medium to medium dark,Kirinyaga,"Chocolate,Cherries",Espresso,Washed,Caturra,"Moka pot,Espresso","Kenya,Peru"
Ethiopia KOKEB SIWANI,Gardelli Coffee,Omni,Yirgacheffe,"Orange,Strawberries,Blueberries,Papaya,Lime",Omni,Natural,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Ethiopia
Ethiopia URAGA,Gardelli Coffee,Omni,Uraga,"Orange,Strawberries,Mango,Papaya",Omni,Anaerobic,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Ethiopia
Ethiopia WUBANCHI,Gardelli Coffee,Omni,Guji,"Roses,Orange,Pear,Raspberries,Elderflower",Omni,Experimental,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Ethiopia
